Date,Region,Channel,Category,Units,Unit Price,Revenue,Discount %,Returns,Customer Rating
2024-07-04,South,In-store,Apparel,14,$49.99,699.86,0%,1,4.2
2024-07-07,East,Online,Accessories,41,$6.99,286.59,10%,2,3.9
2024-07-10,West,In-store,Home,3,$204.99,614.97,0%,0,4.8
2024-07-13,North,Online,Apparel,15,$41.99,629.85,5%,0,4.5
2024-07-16,South,In-store,Accessories,25,$12.99,324.75,0%,0,4.4
2024-07-19,East,Online,Home,4,$164.99,659.96,0%,0,4.6
2024-07-22,West,Online,Apparel,19,$32.99,626.81,0%,0,4.3
2024-07-25,North,In-store,Accessories,21,$15.99,335.79,5%,0,4.1
2024-07-28,South,Online,Home,4,$174.99,699.96,0%,0,4.7
2024-07-31,East,In-store,Apparel,12,$57.99,695.88,0%,0,4.5
2024-08-02,West,Online,Accessories,36,$8.99,323.64,10%,1,4.0
2024-08-05,North,Online,Home,5,$139.99,699.95,0%,0,4.8
2024-08-08,South,In-store,Apparel,16,$44.99,719.84,5%,0,4.4
2024-08-11,East,Online,Accessories,29,$11.99,347.71,0%,0,4.2
2024-08-14,West,In-store,Home,3,$234.99,704.97,0%,0,4.9
2024-08-17,North,Online,Apparel,13,$52.99,688.87,0%,0,4.5
2024-08-20,South,In-store,Accessories,23,$14.99,344.77,0%,1,4.3
2024-08-23,East,Online,Home,6,$119.99,719.94,0%,0,4.6
2024-08-26,West,Online,Apparel,18,$38.99,701.82,5%,0,4.4
2024-08-29,North,In-store,Accessories,31,$10.99,340.69,0%,0,4.1
2024-09-01,South,Online,Home,4,$184.99,739.96,0%,0,4.7
2024-09-04,East,In-store,Apparel,10,$69.99,699.90,0%,0,4.5
2024-09-07,West,Online,Accessories,34,$9.99,339.66,5%,0,4.2
2024-09-10,North,In-store,Home,5,$144.99,724.95,0%,0,4.8
2024-09-13,South,Online,Apparel,15,$46.99,704.85,0%,1,4.3
2024-09-16,East,In-store,Accessories,26,$13.99,363.74,0%,0,4.4
2024-09-19,West,Online,Home,3,$244.99,734.97,0%,0,4.9
2024-09-22,North,In-store,Apparel,14,$49.99,699.86,5%,0,4.5
2024-09-25,South,Online,Accessories,28,$12.99,363.72,0%,0,4.2
2024-09-28,East,In-store,Home,5,$149.99,749.95,0%,0,4.7
2024-10-01,West,Online,Apparel,16,$43.99,703.84,0%,0,4.4
2024-10-04,North,In-store,Accessories,24,$14.99,359.76,0%,1,4.1
2024-10-07,South,Online,Home,4,$189.99,759.96,0%,0,4.8
2024-10-10,East,In-store,Apparel,11,$64.99,714.89,0%,0,4.6
2024-10-13,West,Online,Accessories,30,$11.99,359.70,5%,0,4.3
2024-10-16,North,In-store,Home,3,$259.99,779.97,0%,0,4.9
2024-10-19,South,Online,Apparel,17,$44.99,764.83,0%,1,4.4
2024-10-22,East,In-store,Accessories,27,$13.49,364.23,0%,0,4.2
2024-10-25,West,Online,Home,4,$199.99,799.96,0%,0,4.7
2024-10-28,North,In-store,Apparel,12,$64.99,779.88,5%,0,4.5
2024-10-31,South,Online,Accessories,33,$11.99,395.67,0%,0,4.3
2024-11-03,East,In-store,Home,5,$159.99,799.95,0%,0,4.8
2024-11-06,West,Online,Apparel,15,$53.99,809.85,0%,0,4.4
2024-11-09,North,In-store,Accessories,22,$16.99,373.78,0%,0,4.2
2024-11-12,South,Online,Home,4,$209.99,839.96,0%,1,4.6
2024-11-15,East,In-store,Apparel,13,$61.99,805.87,0%,0,4.5
2024-11-18,West,Online,Accessories,29,$13.99,405.71,5%,0,4.3
2024-11-21,North,In-store,Home,3,$284.99,854.97,0%,0,4.9
2024-11-24,South,Online,Apparel,18,$46.99,845.82,0%,0,4.5
2024-11-27,East,In-store,Accessories,25,$15.99,399.75,0%,0,4.4
2024-11-30,West,Online,Home,5,$179.99,899.95,0%,0,4.7
2024-12-03,North,In-store,Apparel,14,$58.99,825.86,0%,0,4.6
2024-12-06,South,Online,Accessories,31,$12.99,402.69,0%,1,4.2
2024-12-09,East,In-store,Home,4,$224.99,899.96,0%,0,4.8
2024-12-12,West,Online,Apparel,17,$50.99,866.83,0%,0,4.5
2024-12-15,North,In-store,Accessories,27,$14.99,404.73,5%,0,4.3
2024-12-18,South,Online,Home,5,$189.99,949.95,0%,0,4.9
2024-12-21,East,In-store,Apparel,15,$63.99,959.85,0%,1,4.4
2024-12-24,West,Online,Accessories,26,$15.99,415.74,0%,0,4.3
2024-12-27,North,In-store,Home,3,$314.99,944.97,0%,0,4.9
2024-12-30,South,Online,Apparel,16,$59.99,959.84,0%,0,4.6
